run_id,created_at_utc,model_path,model_size_mb,genre_feature_format,data_rows,duplicate_artist_ids,empty_genres,nan_total,tag_count_sum_zero_or_less,vocab_size,model_n_neighbors,genre_tokens_mean,genre_tokens_median,genre_tokens_p95,genre_tokens_max,load_seconds,prediction_seed_count,prediction_top_n,prediction_latency_mean_ms,prediction_latency_p95_ms,recommended_count_mean,seed_leak_count,recommendation_duplicate_count,genre_jaccard_mean,recommended_unique_genres,notes
baseline_local_existing_001,2026-06-05T09:04:29+00:00,models/knn_baseline_model.pkl,177.83,genre_token_unigram,930628,0,0,459156,930628,1828,20,4.219,3.0,12.0,328,10.085,10,5,304.79,443.484,5.0,0,0,0.9708,24,Existing local artifact; predict_artist SQL filters artist_tag.count >= 1.
knn_model_test_joris_full_001,2026-06-05T09:19:43+00:00,models/knn_model_test_joris.pkl,177.83,genre_token_unigram,930628,0,0,459156,930628,1828,20,4.219,3.0,12.0,328,8.658,10,5,316.011,430.491,5.0,0,0,0.9708,24,Full retrain from MusicBrainz temp-table pipeline; predict_artist SQL filters artist_tag.count >= 1.
knn_model_test_joris_n10_001,2026-06-05T09:39:57+00:00,models/knn_model_test_joris_n10.pkl,177.83,genre_token_unigram,930628,0,0,459156,930628,1828,10,4.219,3.0,12.0,328,9.163,10,5,335.915,505.229,5.0,0,0,0.9708,24,Cached full training features; n_neighbors=10.
knn_model_test_joris_n50_001,2026-06-05T09:40:22+00:00,models/knn_model_test_joris_n50.pkl,177.83,genre_token_unigram,930628,0,0,459156,930628,1828,50,4.219,3.0,12.0,328,10.651,10,5,373.917,689.759,5.0,0,0,0.9708,24,Cached full training features; n_neighbors=50.
knn_model_test_joris_cap50_001,2026-06-05T09:40:46+00:00,models/knn_model_test_joris_cap50.pkl,177.37,genre_token_unigram,930628,0,0,459156,930628,1826,20,4.197,3.0,12.0,50,8.876,10,5,456.558,833.757,5.0,0,0,0.9708,24,Cached full training features; max 50 genre tokens per artist; n_neighbors=20.
knn_model_test_joris_cap30_001,2026-06-05T09:41:12+00:00,models/knn_model_test_joris_cap30.pkl,176.58,genre_token_unigram,930628,0,0,459156,930628,1821,20,4.157,3.0,12.0,30,9.247,10,5,320.382,447.965,5.0,0,0,0.9708,24,Cached full training features; max 30 genre tokens per artist; n_neighbors=20.
knn_model_test_joris_slim_001,2026-06-05T09:41:32+00:00,models/knn_model_test_joris_slim.pkl,125.35,genre_token_unigram,930628,0,0,0,,1828,20,4.219,3.0,12.0,328,5.339,10,5,229.191,294.432,5.0,0,0,0.9708,24,"Cached full training features; artifact stores only artist_id, artist_name, genres."
knn_model_test_joris_cap50_slim_n50_001,2026-06-05T09:41:50+00:00,models/knn_model_test_joris_cap50_slim_n50.pkl,124.9,genre_token_unigram,930628,0,0,0,,1826,50,4.197,3.0,12.0,50,5.56,10,5,254.855,422.161,5.0,0,0,0.9708,24,Cached full training features; max 50 genre tokens; slim artifact; n_neighbors=50.
knn_model_test_joris_min_count_2_001,2026-06-05T10:01:29+00:00,models/knn_model_test_joris_min_count_2.pkl,55.46,genre_token_unigram,324606,0,0,133905,324606,1238,20,3.233,2.0,8.0,184,3.974,10,5,101.291,125.241,5.0,0,0,0.9572,23,Full retrain from MusicBrainz temp-table pipeline; min_tag_count=2; no work tags.
knn_model_test_joris_min_count_2_slim_001,2026-06-05T10:01:38+00:00,models/knn_model_test_joris_min_count_2_slim.pkl,36.96,genre_token_unigram,324606,0,0,0,,1238,20,3.233,2.0,8.0,184,3.009,10,5,68.769,78.405,5.0,0,0,0.9572,23,"Full retrain; min_tag_count=2; no work tags; slim artifact stores only artist_id, artist_name, genres."
knn_model_test_joris_weighted_001,2026-06-05T10:55:34+00:00,models/knn_model_test_joris_weighted.pkl,229.96,genre_token_unigram,930628,0,0,459156,930628,1828,20,11.668,8.0,33.0,970,8.034,10,5,270.594,368.728,5.0,0,0,0.5037,141,"Full weighted retrain; weights artist/direct=4, release_group=3, release=2, recording fallback=1; min_tag_count=1."
knn_model_test_joris_weighted_slim_001,2026-06-05T10:55:55+00:00,models/knn_model_test_joris_weighted_slim.pkl,187.97,genre_token_unigram,930628,0,0,0,,1828,20,11.668,8.0,33.0,970,5.38,10,5,200.74,246.373,5.0,0,0,0.5037,141,"Full weighted retrain; slim artifact; weights artist/direct=4, release_group=3, release=2, recording fallback=1; min_tag_count=1."
